Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:53:25 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:53:26 PM  1000     49045   99.00    0.00    0.00    0.00   99.00     3  pearson
06:53:27 PM  1000     49045  100.00    0.00    0.00    0.00  100.00     2  pearson
06:53:28 PM  1000     49045   84.00    2.00    0.00    0.00   86.00    12  pearson
06:53:29 PM  1000     49045    8.00   10.00    0.00    0.00   18.00     8  pearson
06:53:30 PM  1000     49045    3.00   15.00    0.00    0.00   18.00     0  pearson
06:53:31 PM  1000     49045    7.00   12.00    0.00    0.00   19.00    12  pearson
06:53:32 PM  1000     49045    7.00   14.00    0.00    0.00   21.00     2  pearson
06:53:33 PM  1000     49045    5.00   15.00    0.00    1.00   20.00    14  pearson
