procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 3489844 476184 5640312    0    0  2231  1521 12021   23  7  5 88  0  0  0
 3  0      0 3480656 476188 5640320    0    0     0    64 8960 17065  9  5 86  0  0  0
 2  0      0 3481352 476196 5640328    0    0     0    16 6540 9741  8  3 89  0  0  0
 2  0      0 3482184 476288 5637728    0    0     0     0 8074 48022  8  4 87  0  0  0
 1  0      0 3480664 476800 5638288    0    0     0   152 8770 214340  2  7 91  0  0  0
 2  0      0 3481976 477304 5639204    0    0     0     0 13099 216953  3  7 90  0  0  0
 1  0      0 3482596 477788 5640076    0    0     0  1256 11091 208554  4  8 88  0  0  0
 1  0      0 3479128 478212 5639744    0    0     0     0 10795 181292  2  7 91  0  0  0
 1  0      0 3473872 478640 5640112    0    0     0    20 13304 182927  5  7 88  0  0  0
