procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5947076 296500 4704156    0    0  9553  4684 15242   24  5  5 89  0  0  0
 4  0      0 5936608 296504 4704260    0    0     0     0 21321 112508 10  7 83  0  0  0
 3  0      0 5935740 296512 4704336    0    0     0   272 20885 109180  9  7 84  0  0  0
 4  0      0 5933072 296544 4704336    0    0     4   388 24820 106317 12  7 81  0  0  0
 3  0      0 5935368 296544 4704336    0    0     0     0 22849 108870  9  8 83  0  0  0
 2  0      0 5935756 296544 4704336    0    0     0     0 23804 107754  9  7 84  0  0  0
 2  0      0 5934652 296552 4704336    0    0     0     0 24006 112307 10  7 82  0  0  0
 1  0      0 5926052 296552 4704336    0    0     0     0 20316 106317  9  7 84  0  0  0
 3  1      0 5929192 296560 4704320    0    0     0   368 22706 111697 11  8 81  0  0  0
 2  0      0 5931232 296560 4704324    0    0     0     0 23223 106554  9  7 84  0  0  0
 2  0      0 5930820 296560 4704324    0    0     0     0 23809 105442  9  7 84  0  0  0
 2  0      0 5927344 296564 4706444    0    0  2120     0 23901 118776 11  8 81  1  0  0
 2  0      0 5927484 296564 4706444    0    0     0     0 21715 109048  9  8 83  0  0  0
 3  0      0 5931132 296568 4706440    0    0     0    12 23383 103564 11  7 82  0  0  0
