procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5912964 304316 4743932    0    0  8626  4275 15962   28  6  5 89  0  0  0
 3  0      0 5870736 304332 4751168    0    0     0   800 21850 101300 10  7 83  0  0  0
 3  0      0 5875588 304364 4751184    0    0     0   204 22973 110567 12  7 80  0  0  0
 2  0      0 5906040 304380 4721664    0    0     0   112 20945 106399 11  8 81  0  0  0
 2  0      0 5908660 304380 4721428    0    0     0     0 22846 117846 10  8 82  0  0  0
 2  0      0 5907284 304380 4721428    0    0     0     0 20582 111150  9  8 83  0  0  0
 2  0      0 5911048 304388 4721424    0    0     0    80 22054 109797  9  7 83  0  0  0
 3  0      0 5930776 304472 4721348    0    0    56     0 24548 107139 11  7 82  0  0  0
