Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:37:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:38:58 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:38:59 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:00 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:01 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:02 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:03 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:04 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:05 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:06 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:07 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:08 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:09 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:10 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:11 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:12 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:13 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:14 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:15 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:16 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:17 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:18 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:19 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:20 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:21 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:22 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:23 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:24 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:25 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:26 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:27 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:28 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:29 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:30 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:31 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:32 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:33 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:39:34 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:35 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:36 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:37 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:38 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:39 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:40 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:41 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:42 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:43 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:44 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:45 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:46 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:47 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:48 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:49 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:50 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:51 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:52 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:39:53 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:54 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:55 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:39:56 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:39:57 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:39:58 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:39:59 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:00 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:01 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:02 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:03 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:04 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:05 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:06 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:07 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:08 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:09 PM  1000     33413   99.01    0.00    0.00    0.00   99.01     3  blur
06:40:10 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:11 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:12 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
