Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:31:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:31:46 PM  1000     22855   99.00    0.00    0.00    0.00   99.00     7  blur
06:31:47 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     7  blur
06:31:48 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     7  blur
06:31:49 PM  1000     22855   98.00    1.00    0.00    0.00   99.00     7  blur
06:31:50 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     3  blur
06:31:51 PM  1000     22855   99.00    0.00    0.00    1.00   99.00     7  blur
06:31:52 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     6  blur
06:31:53 PM  1000     22855  100.00    1.00    0.00    0.00  101.00     3  blur
06:31:54 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     3  blur
06:31:55 PM  1000     22855   99.00    0.00    0.00    0.00   99.00     7  blur
06:31:56 PM  1000     22855   99.00    0.00    0.00    0.00   99.00     7  blur
06:31:57 PM  1000     22855  101.00    0.00    0.00    0.00  101.00     7  blur
06:31:58 PM  1000     22855  100.00    0.00    0.00    1.00  100.00     3  blur
06:31:59 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     6  blur
06:32:00 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     2  blur
06:32:01 PM  1000     22855   99.00    1.00    0.00    0.00  100.00     6  blur
06:32:02 PM  1000     22855  100.00    0.00    0.00    0.00  100.00    10  blur
06:32:03 PM  1000     22855   99.00    0.00    0.00    1.00   99.00     6  blur
06:32:04 PM  1000     22855  100.00    0.00    0.00    0.00  100.00     7  blur
