procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 5014816 410460 5371904    0    0  4970  3121 16338   40  7  6 87  0  0  0
 4  0      0 4895424 410464 5371920    0    0     0 12288 7399 15944  9  3 88  0  0  0
 3  0      0 4895956 410464 5371932    0    0     0     0 7901 14788  8  3 89  0  0  0
 2  0      0 4895076 410472 5371924    0    0     0    56 8902 14403  9  3 88  0  0  0
 1  0      0 4899476 410472 5371924    0    0     0   164 8316 9949  8  3 89  0  0  0
 1  0      0 4897200 410480 5371912    0    0     0    88 7760 12629  8  3 89  0  0  0
 1  0      0 4899516 410488 5371908    0    0     0 12288 9160 16548  9  3 88  0  0  0
 1  0      0 4867052 410492 5373016    0    0   112     0 8796 13225  8  4 88  0  0  0
 3  0      0 4865424 410548 5372880    0    0     0   528 10572 14645 10  4 86  0  0  0
 1  0      0 4871104 410548 5372040    0    0     0     0 9434 9927  8  3 90  0  0  0
 2  0      0 4868876 410548 5372040    0    0     0   224 8950 13410  8  3 89  0  0  0
 2  0      0 4883304 410548 5372040    0    0     0     0 8421 17504  9  3 88  0  0  0
 1  0      0 4883436 410548 5372040    0    0     0    12 6918 10767  7  3 89  0  0  0
 1  0      0 4883916 410552 5372040    0    0     0     0 11129 14673 10  3 87  0  0  0
 4  0      0 4884300 410600 5372048    0    0     0   324 8520 11757  8  3 89  0  0  0
 1  0      0 4884300 410616 5372072    0    0     0   276 7916 9382  8  3 89  0  0  0
 1  0      0 4882688 410616 5372092    0    0     0   160 9404 20331  9  3 88  0  0  0
 1  0      0 4884136 410632 5372084    0    0     0    88 7782 10361  7  2 90  0  0  0
 1  0      0 4888372 410632 5372084    0    0     0     0 10784 12331  9  3 87  0  0  0
 2  0      0 4886532 410632 5372100    0    0     0   104 7240 8339  7  3 90  0  0  0
 2  0      0 4889992 410632 5372100    0    0     0     0 9231 11886  7  3 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 4892588 410688 5372748    0    0     0   360 10942 17239  9  3 88  0  0  0
 2  0      0 4890064 410688 5372252    0    0     0   444 9122 12101  8  3 89  0  0  0
 1  0      0 4888108 410688 5372128    0    0     0     0 10478 14165 10  3 87  0  0  0
 2  0      0 4867332 410688 5372132    0    0     4     0 6860 26567  8  4 88  0  0  0
 1  0      0 4851036 410688 5372260    0    0     0     0 10109 18174  8  3 89  0  0  0
 2  0      0 4854568 410700 5372268    0    0     0   144 14479 25986 11  3 87  0  0  0
 2  0      0 4852504 410700 5372276    0    0     4  2436 15178 27739  9  3 88  0  0  0
 2  0      0 4853484 410700 5372276    0    0     0   156 14600 22020 12  3 85  0  0  0
 2  0      0 4858664 410700 5372276    0    0     0    52 10017 13147  8  3 89  0  0  0
 2  0      0 4857340 410700 5372276    0    0     0     0 8826 11111  8  3 89  0  0  0
 2  0      0 4819208 411976 5372444    0    0  1304    60 8534 67640 10  4 86  0  0  0
 1  0      0 4794144 414104 5375220    0    0  2120    80 9453 56405  9  5 87  0  0  0
 1  0      0 4801012 414104 5375232    0    0     4     0 8492 11487 10  3 87  0  0  0
 2  0      0 4797320 414104 5375232    0    0     0   164 9365 11698  8  3 89  0  0  0
 5  0      0 4798940 414104 5375232    0    0     0     0 7705 10906  8  3 89  0  0  0
 2  0      0 4807112 414104 5375232    0    0     0    12 8366 13897  8  3 89  0  0  0
 1  0      0 4891188 414104 5375788    0    0     0    64 10866 12559  9  4 87  0  0  0
 2  0      0 4898060 414112 5376040    0    0     0   184 11016 15500 10  4 86  0  0  0
 1  0      0 4899416 414112 5375244    0    0     0     0 6700 8571  8  3 89  0  0  0
 1  0      0 4897752 414116 5375240    0    0     0   164 6512 9395  7  3 89  0  0  0
 2  0      0 4876560 414116 5376244    0    0     0     0 9657 35647 12  6 82  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 4880116 414120 5376248    0    0     0     0 5592 24774  8  3 88  0  0  0
 1  0      0 4872400 414120 5376256    0    0     0    12 6361 8667  9  3 88  0  0  0
 1  0      0 4870588 414128 5376264    0    0     0    92 5417 7396  7  3 90  0  0  0
 1  0      0 4875972 414168 5376672    0    0     0   548 6552 59284  8  3 88  0  0  0
