procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 4810944 380092 5340540    0    0  5440  2984 17139   42  7  6 87  0  0  0
 1  0      0 4691756 380520 5340964    0    0     0     0 9698 177880  9  6 85  0  0  0
 2  0      0 4690244 380952 5341364    0    0     0   156 6140 177277  9  5 86  0  0  0
 2  0      0 4689556 381380 5341816    0    0     0    20 10581 177798 10  5 84  0  0  0
 3  0      0 4689892 381804 5342168    0    0     0 16384 8908 175154  9  6 85  0  0  0
 2  0      0 4691512 382224 5342704    0    0     0     0 11113 182019 10  7 83  0  0  0
 3  0      0 4691216 382656 5343120    0    0     0     0 8721 177770  8  6 86  0  0  0
 5  0      0 4694176 383076 5343612    0    0     0   104 8971 176734  9  5 85  0  0  0
 3  0      0 4692716 383500 5343788    0    0     0 153044 11594 178755 10  7 83  0  0  0
 1  0      0 4707996 383588 5344288    0    0     0 17736 8671 39439  8  4 88  0  0  0
 1  0      0 4705572 383596 5344236    0    0     0    52 7322 13888  9  3 89  0  0  0
 1  0      0 4707720 383596 5344236    0    0     0     0 5667 7499  7  2 90  0  0  0
 2  0      0 4710236 383596 5344236    0    0     0     0 6511 8170  8  3 90  0  0  0
 1  0      0 4716260 383600 5344232    0    0     0 74212 6939 9179  9  2 88  0  0  0
 1  0      0 4716296 383600 5344240    0    0     0  1484 4758 6691  7  2 90  0  0  0
 1  0      0 4717424 383600 5344256    0    0     0   164 6221 12760  8  3 89  0  0  0
 1  0      0 4719684 383600 5344292    0    0     0     0 4816 6646  7  2 90  0  0  0
 2  0      0 4721060 383600 5344328    0    0     0     0 5472 7475  8  3 89  0  0  0
 1  0      0 4718768 383608 5344324    0    0     0 27408 6038 8438  9  3 88  1  0  0
 1  0      0 4721400 383608 5344336    0    0     0     0 4991 6898  7  2 90  0  0  0
 1  0      0 4719928 383608 5344336    0    0     0     0 8494 13752  9  3 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 4716856 383616 5344324    0    0     0   224 5164 7159  8  3 89  0  0  0
 3  0      0 4720364 383616 5344324    0    0     0     0 4802 6758  8  2 90  0  0  0
 2  0      0 4725128 383616 5344324    0    0     0   156 6419 8995  9  2 88  0  0  0
 3  0      0 4724452 383616 5344324    0    0     0     0 6173 7788  7  3 90  0  0  0
 3  0      0 4712988 383632 5344324    0    0     0   112 8914 15363  9  3 88  0  0  0
 2  0      0 4713792 383636 5344340    0    0     0     0 5126 6944  7  3 90  0  0  0
 4  0      0 4714436 383636 5344344    0    0     0   160 5217 7429  8  2 90  0  0  0
 1  0      0 4712744 383636 5344344    0    0     0     0 5954 8555  9  2 89  0  0  0
 1  0      0 4713028 383636 5344344    0    0     0     0 5110 6901  7  2 91  0  0  0
 1  1      0 4709092 383640 5344340    0    0     0    56 6424 12638  8  3 88  0  0  0
 1  0      0 4710780 383644 5344344    0    0     0    44 4747 6710  7  2 90  0  0  0
 1  0      0 4714440 383644 5344348    0    0     0   172 4970 6982  8  3 90  0  0  0
 1  0      0 4714028 383644 5344348    0    0     0     0 5939 8709  9  2 89  0  0  0
 1  0      0 4716408 383644 5344348    0    0     0     0 6076 7546  7  4 89  0  0  0
 1  0      0 4714004 383644 5344348    0    0     0     0 10543 18040  9  3 88  0  0  0
 3  0      0 4714144 383644 5344348    0    0     0    40 9024 13110  8  3 90  0  0  0
 4  0      0 4694316 383652 5344396    0    0     0    52 7429 10287  9  2 89  0  0  0
 4  0      0 4694964 383652 5344400    0    0     0     0 10548 11790  9  3 88  0  0  0
 2  0      0 4698300 383668 5344400    0    0     0   516 8703 12886  7  3 89  0  0  0
 3  0      0 4697896 383672 5344420    0    0     0     0 8764 15793  9  3 88  0  0  0
 4  0      0 4705964 383672 5344420    0    0     0   140 7432 9784  8  3 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 4705728 383676 5344416    0    0     0    44 6716 8160  8  3 89  0  0  0
 2  0      0 4706364 383676 5344424    0    0     0    48 9694 11435  9  3 88  0  0  0
 2  0      0 4708312 383676 5344424    0    0     0     0 7108 13234  8  2 90  0  0  0
 1  0      0 4703572 383684 5344424    0    0     0   224 7179 15302  9  3 88  0  0  0
 1  0      0 4705088 383684 5344424    0    0     0     0 5252 7066  7  3 90  0  0  0
 1  0      0 4703228 383684 5344424    0    0     0     4 7752 8969  8  2 90  0  0  0
 1  0      0 4702488 383684 5344424    0    0     0    40 6388 8904  9  3 88  0  0  0
 1  0      0 4705644 383724 5344408    0    0     0   328 8473 11800  8  3 89  0  0  0
 1  0      0 4706112 383728 5344448    0    0     0   104 10882 16191  9  3 88  0  0  0
 6  0      0 4701588 383768 5344644    0    0     0   656 18869 95406  9  6 84  0  0  0
 1  0      0 4714012 383768 5345316    0    0     0    64 20540 98406  9  7 84  0  0  0
 2  0      0 4956220 383772 5344676    0    0     0     0 9274 12806 10  4 86  0  0  0
 2  1      0 4956588 383772 5344684    0    0     0    48 8102 8891  7  3 90  0  0  0
 3  0      0 4955808 383772 5344684    0    0     0    12 11244 17001  9  3 88  0  0  0
 1  0      0 4948404 383772 5344684    0    0     0    32 8194 14678  8  2 89  0  0  0
 2  0      0 4954624 383780 5344688    0    0     0   344 6907 11682  8  2 90  0  0  0
 1  0      0 4956772 383780 5344688    0    0     0     0 8925 16517  9  3 88  0  0  0
 1  0      0 4953196 383780 5344688    0    0     0     0 8181 19067  8  3 89  0  0  0
 1  0      0 4951452 383780 5345936    0    0     0    40 9017 19225  9  3 88  0  0  0
 2  0      0 4952692 383820 5345940    0    0     0   376 6671 7822  7  3 90  0  0  0
 1  0      0 4935984 391220 5351368    0    0   264   216 6200 22323  7  4 89  0  0  0
