Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:31:30 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:31:31 PM  1000     22675   99.00    0.00    0.00    0.00   99.00     3  blur
06:31:32 PM  1000     22675  100.00    0.00    0.00    0.00  100.00     7  blur
06:31:33 PM  1000     22675   99.00    1.00    0.00    0.00  100.00     3  blur
06:31:34 PM  1000     22675   99.00    0.00    0.00    0.00   99.00     6  blur
06:31:35 PM  1000     22675   99.00    1.00    0.00    1.00  100.00     3  blur
06:31:36 PM  1000     22675  100.00    0.00    0.00    0.00  100.00     6  blur
06:31:37 PM  1000     22675  100.00    0.00    0.00    0.00  100.00     7  blur
06:31:38 PM  1000     22675  100.00    0.00    0.00    0.00  100.00     7  blur
06:31:39 PM  1000     22675   99.00    0.00    0.00    0.00   99.00     7  blur
06:31:40 PM  1000     22675  100.00    0.00    0.00    0.00  100.00     6  blur
06:31:41 PM  1000     22675  100.00    0.00    0.00    1.00  100.00     7  blur
06:31:42 PM  1000     22675   99.00    0.00    0.00    0.00   99.00     6  blur
06:31:43 PM  1000     22675  100.00    1.00    0.00    0.00  101.00     7  blur
