procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 4848564 442732 5445816    0    0  3611  2310 13568   31  7  5 87  0  0  0
 3  0      0 4723600 442736 5445824    0    0     0     0 6380 24458  8  3 89  0  0  0
 1  1      0 4728384 442736 5445828    0    0     0    40 5174 8101  7  3 89  0  0  0
 2  0      0 4723640 442744 5445828    0    0     0   144 6359 10069  9  3 88  0  0  0
 1  0      0 4722192 442744 5445828    0    0     0     0 5031 7980  8  3 90  0  0  0
 1  0      0 4727024 442744 5445832    0    0     0  4096 4694 7674  7  2 91  0  0  0
 1  0      0 4728204 442752 5445832    0    0     0     4 5826 13089  8  2 89  0  0  0
 1  0      0 4731952 442752 5445836    0    0     0     0 5093 8074  7  2 90  0  0  0
 2  1      0 4726688 442752 5445836    0    0     0    40 6510 10107  9  3 88  0  0  0
 1  0      0 4713812 442760 5455600    0    0  9764   140 5163 8453  7  3 90  0  0  0
 2  0      0 4730288 442836 5471368    0    0  2660 13292 6421 9513 10  4 86  0  0  0
 1  0      0 4737688 442848 5470848    0    0     0    60 8385 15918 10  4 87  0  0  0
 1  0      0 4736360 442848 5470848    0    0     0     4 5282 8292  7  3 90  0  0  0
 2  0      0 4738868 442852 5470844    0    0     0     0 5947 9751  9  2 89  0  0  0
 1  0      0 4737492 442852 5470852    0    0     0   588 4836 7915  7  2 90  0  0  0
 1  0      0 4743196 442852 5470852    0    0     0     0 5010 8123  7  2 90  0  0  0
 1  0      0 4740004 442864 5470852    0    0     0  4240 6516 13923  8  3 88  0  0  0
 1  0      0 4765304 442872 5470864    0    0     0    28 5093 8296  7  3 90  0  0  0
 2  0      0 4774516 442872 5470864    0    0     0   220 6163 9903  9  3 88  0  0  0
 1  0      0 4759884 442888 5481044    0    0 10188    56 5402 8615  8  3 89  0  0  0
 2  0      0 4756296 442888 5481044    0    0     0   164 5408 8459  7  3 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 4764048 442888 5481044    0    0     0  4096 5990 13379  8  3 89  0  0  0
 1  0      0 4765028 442888 5481044    0    0     0     0 4993 7916  7  3 90  0  0  0
 1  0      0 4762672 442888 5481036    0    0     0     0 6438 10237 10  2 88  0  0  0
 1  0      0 4768592 442896 5481036    0    0     0    40 5272 8201  7  3 90  1  0  0
 2  0      0 4769496 442896 5481040    0    0     0     0 4831 7936  7  3 90  0  0  0
 3  0      0 4769408 442900 5481036    0    0     0 10588 6193 13448  8  3 89  0  0  0
 2  0      0 4767984 442900 5481044    0    0     0   168 5163 8159  7  2 90  0  0  0
 3  0      0 4762700 442900 5481044    0    0     0     0 6274 9906  9  3 88  0  0  0
 3  0      0 4758944 442900 5486164    0    0  5136     0 5034 8176  7  2 90  0  0  0
 2  0      0 4761876 442908 5486156    0    0     0    24 5079 8097  7  3 90  0  0  0
 2  0      0 4762672 442908 5486164    0    0     0     0 6343 14039  9  3 89  0  0  0
 3  0      0 4759972 442908 5486164    0    0     0     0 5018 8077  7  3 90  0  0  0
 2  0      0 4754236 442924 5486176    0    0     0   244 6585 10383  9  3 88  0  0  0
 2  0      0 4761080 442924 5486180    0    0     0     0 4918 7920  7  3 90  0  0  0
 2  0      0 4760096 442924 5486180    0    0     0     0 4875 8066  7  3 90  0  0  0
 2  0      0 4761280 442940 5486180    0    0     0   100 6293 13508  9  3 88  0  0  0
 1  0      0 4761808 442940 5486180    0    0     0     0 5261 8327  7  3 89  0  0  0
 5  0      0 4761608 442940 5486180    0    0     0   128 5897 9470  9  3 88  0  0  0
