Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:36:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:36:37 PM  1000     32537   96.00    3.00    0.00    0.00   99.00     6  blur
06:36:38 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:39 PM  1000     32537   99.00    1.00    0.00    0.00  100.00     7  blur
06:36:40 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:41 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:42 PM  1000     32537  100.00    0.00    0.00    1.00  100.00     7  blur
06:36:43 PM  1000     32537   99.00    0.00    0.00    0.00   99.00     6  blur
06:36:44 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:36:45 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:46 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:47 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:36:48 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:36:49 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:50 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:51 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:52 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:53 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:54 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:55 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:56 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:36:57 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:36:58 PM  1000     32537  100.00    0.00    0.00    1.00  100.00     2  blur
06:36:59 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     2  blur
06:37:00 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:01 PM  1000     32537   99.00    0.00    0.00    0.00   99.00     6  blur
06:37:02 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:03 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:04 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:05 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:06 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:07 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:08 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:09 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:10 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:11 PM  1000     32537   99.00    1.00    0.00    0.00  100.00     2  blur
06:37:12 PM  1000     32537  100.00    0.00    0.00    1.00  100.00     6  blur
06:37:13 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:14 PM  1000     32537   99.00    0.00    0.00    0.00   99.00     7  blur
06:37:15 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:16 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:17 PM  1000     32537  100.00    0.00    0.00    1.00  100.00     6  blur
06:37:18 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:19 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:20 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:21 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:22 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:23 PM  1000     32537   99.00    0.00    0.00    0.00   99.00     7  blur
06:37:24 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:25 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:26 PM  1000     32537   99.00    0.00    0.00    1.00   99.00     7  blur
06:37:27 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:28 PM  1000     32537   99.00    0.00    0.00    0.00   99.00     7  blur
06:37:29 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:30 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:31 PM  1000     32537   99.00    0.00    0.00    1.00   99.00     7  blur
06:37:32 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:33 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     7  blur
06:37:34 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     3  blur
06:37:35 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     6  blur
06:37:36 PM  1000     32537  100.00    0.00    0.00    0.00  100.00     3  blur
06:37:37 PM  1000     32537   99.00    0.00    0.00    1.00   99.00     8  blur
06:37:38 PM  1000     32537   89.00    1.00    0.00    0.00   90.00    12  blur
