Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:32:52 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:32:53 PM  1000     23787   99.00    0.00    0.00    0.00   99.00     4  blur
06:32:54 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:32:55 PM  1000     23787   99.00    0.00    0.00    0.00   99.00     6  blur
06:32:56 PM  1000     23787  100.00    0.00    0.00    1.00  100.00     2  blur
06:32:57 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:32:58 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:32:59 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:00 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:01 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:02 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:03 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:04 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:05 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:06 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:07 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:08 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:09 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:10 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:11 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:12 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:13 PM  1000     23787   99.00    0.00    0.00    0.00   99.00     3  blur
06:33:14 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:15 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:16 PM  1000     23787  100.00    0.00    0.00    1.00  100.00     3  blur
06:33:17 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:18 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:19 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:20 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:21 PM  1000     23787   99.00    0.00    0.00    0.00   99.00     7  blur
06:33:22 PM  1000     23787  100.00    0.00    0.00    1.00  100.00     7  blur
06:33:23 PM  1000     23787  100.00    0.00    0.00    0.00  100.00    11  blur
06:33:24 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:25 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     2  blur
06:33:26 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:27 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:28 PM  1000     23787   99.00    0.00    0.00    0.00   99.00     2  blur
06:33:29 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:30 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:31 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     3  blur
06:33:32 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:33 PM  1000     23787  100.00    0.00    0.00    1.00  100.00     7  blur
06:33:34 PM  1000     23787   99.00    1.00    0.00    0.00  100.00     6  blur
06:33:35 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
06:33:36 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     7  blur
06:33:37 PM  1000     23787  100.00    0.00    0.00    0.00  100.00     6  blur
