procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5895052 310796 4763500    0    0  7942  3916 16500   31  6  6 88  0  0  0
 2  0      0 5871156 310800 4763524    0    0     0     0 24788 105661 11  8 81  0  0  0
 3  0      0 5868632 310832 4763332    0    0     0   208 23338 104943  9  8 83  0  0  0
 2  0      0 5870428 310832 4763544    0    0     0     0 22636 110726  9  7 83  0  0  0
 3  0      0 5871176 310832 4763544    0    0     0   416 25492 115949 11  8 82  0  0  0
 3  0      0 5872516 310832 4763544    0    0     0  3236 20626 107791  9  8 83  0  0  0
 4  1      0 5878736 310840 4763544    0    0     0     0 21850 106692 11  7 82  0  0  0
 3  0      0 5877512 310840 4763548    0    0     0    32 22595 106116  9  7 84  0  0  0
 3  0      0 5881320 310848 4763548    0    0     0    28 20414 106625  9  8 83  0  0  0
 2  0      0 5876960 310864 4763548    0    0     0    88 21186 114169 10  7 83  0  0  0
 2  0      0 5873500 310864 4764496    0    0   948   168 21159 109575  9  8 83  0  0  0
 2  0      0 5870652 310864 4764496    0    0     0     0 22107 111487 11  7 82  0  0  0
 2  0      0 5872492 310864 4764496    0    0     0     0 20608 107141  9  7 84  0  0  0
 2  0      0 5872156 310868 4764492    0    0     0    24 20231 108815  9  8 83  0  0  0
 3  0      0 5869968 310876 4764504    0    0     0    56 21458 113756 10  7 83  0  0  0
 5  0      0 5871512 310876 4764504    0    0     0     0 22080 108532  9  7 84  0  0  0
 2  0      0 5873652 310876 4764504    0    0     0   172 21371 108452 11  8 81  0  0  0
 2  0      0 5870264 310876 4764504    0    0     0     0 23592 112000  9  7 84  0  0  0
 2  0      0 5875756 310876 4764504    0    0     0     0 20321 109849  9  7 84  0  0  0
 3  0      0 5876860 310876 4764504    0    0     0    40 21369 113688 10  7 83  0  0  0
 3  0      0 5878424 310884 4764504    0    0     0    28 20413 108680  9  7 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5876852 310884 4764504    0    0     0    44 23368 109779 12  7 81  0  0  0
 2  0      0 5876820 310884 4764504    0    0     0   168 20857 109847  9  7 83  0  0  0
 2  0      0 5876548 310884 4764504    0    0     0     0 20751 111112  9  7 84  0  0  0
 2  0      0 5879256 310924 4764480    0    0     0    92 22890 108174 10  8 82  0  0  0
 2  0      0 5877480 310924 4764504    0    0     0    28 24907 110452  9  8 83  0  0  0
 3  0      0 5879440 310928 4764512    0    0     0     0 22316 108038 11  7 82  0  0  0
 2  0      0 5881524 310928 4764512    0    0     0    40 19027 109138  9  7 84  0  0  0
 2  0      0 5836460 310928 4764512    0    0     0   160 20557 109743  9  7 83  0  0  0
 3  0      0 5826576 310928 4764512    0    0     0     0 22885 110308 10  7 82  0  0  0
 6  0      0 5823776 310928 4764512    0    0     0     0 22893 107085  9  7 84  0  0  0
 2  0      0 5829844 310928 4764512    0    0     0     0 21663 108599 11  7 82  0  0  0
 3  0      0 5856896 310952 4764468    0    0     0   100 21213 110308  9  7 84  0  0  0
 2  0      0 5857820 310952 4764468    0    0     0    28 20576 110732  9  8 82  0  0  0
 3  0      0 5854824 310952 4764468    0    0     0   676 22625 113429 10  8 82  0  0  0
 2  0      0 5856104 310952 4764472    0    0     0     0 21761 108709  9  7 84  0  0  0
 3  0      0 5865580 310952 4764472    0    0     0   112 23357 106742 11  7 81  0  0  0
 2  0      0 5868864 310952 4764472    0    0     0    28 23222 110851  9  7 84  0  0  0
 2  0      0 5861628 310976 4764488    0    0     0   120 19906 107415  9  7 83  0  0  0
 3  0      0 5865576 310976 4764488    0    0     0    28 22318 114878 10  8 83  0  0  0
 2  0      0 5865428 310980 4764484    0    0     0   172 23472 103251  9  7 84  0  0  0
 3  0      0 5869560 310980 4764492    0    0     0     0 24168 104410 11  8 81  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5867544 310984 4764488    0    0     0     0 24331 106905 10  8 82  0  0  0
 5  0      0 5865008 310992 4764496    0    0     0    80 21801 109833  9  7 84  0  0  0
 3  0      0 5865284 310992 4764496    0    0     0     0 25248 116046 10  7 83  0  0  0
 2  0      0 5863428 311008 4764480    0    0     0   132 22880 112740 10  7 83  0  0  0
