Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:35:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:35:01 PM  1000     25508   97.00    1.00    0.00    0.00   98.00     7  blur
06:35:02 PM  1000     25508  100.00    1.00    0.00    0.00  101.00     7  blur
06:35:03 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:04 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     7  blur
06:35:05 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     7  blur
06:35:06 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:07 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:08 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:09 PM  1000     25508   99.00    0.00    0.00    0.00   99.00    14  blur
06:35:10 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:35:11 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:35:12 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     2  blur
06:35:13 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:35:14 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:35:15 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:16 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:17 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:18 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:19 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:20 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:21 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:22 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:23 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:24 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:25 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     7  blur
06:35:26 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:27 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     2  blur
06:35:28 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:35:29 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:30 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:31 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:32 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:33 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:34 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:35 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     7  blur
06:35:36 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:37 PM  1000     25508   99.00    1.00    0.00    1.00  100.00     3  blur
06:35:38 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:39 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:40 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:41 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:42 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:43 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     7  blur
06:35:44 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:45 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     7  blur
06:35:46 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:47 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:48 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     7  blur
06:35:49 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     6  blur
06:35:50 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     7  blur
06:35:51 PM  1000     25508   99.00    0.00    0.00    1.00   99.00     6  blur
06:35:52 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:35:53 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:35:54 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     3  blur
06:35:55 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:56 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:57 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:35:58 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     3  blur
06:35:59 PM  1000     25508  100.00    0.00    0.00    0.00  100.00    11  blur
06:36:00 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:01 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:02 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:03 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:04 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:05 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:06 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:07 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:08 PM  1000     25508   99.00    0.00    0.00    0.00   99.00     3  blur
06:36:09 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:10 PM  1000     25508  100.00    0.00    0.00    1.00  100.00     3  blur
06:36:11 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:12 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:13 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:14 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:15 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:16 PM  1000     25508  100.00    0.00    0.00    0.00  100.00    12  blur
06:36:17 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:18 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:19 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:20 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:21 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     3  blur
06:36:22 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     2  blur
06:36:23 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
06:36:24 PM  1000     25508  100.00    0.00    0.00    0.00  100.00     6  blur
