procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 5813440 319980 4783748    0    0  7129  3551 17082   35  6  6 88  0  0  0
 3  0      0 5778292 319996 4783772    0    0     0   208 21850 110172 10  7 82  0  0  0
 2  0      0 5792424 319996 4783776    0    0     0     0 22273 103279  9  8 83  0  0  0
 2  0      0 5810248 320012 4783772    0    0     0    60 25850 106809 12  7 81  0  0  0
 2  0      0 5818192 320012 4783772    0    0     0   292 21750 109356  9  7 84  0  0  0
 2  0      0 5815856 320012 4783772    0    0     0   152 21867 109901  9  7 83  0  0  0
 2  0      0 5815516 320028 4783776    0    0     0    52 26379 112900 11  8 81  0  0  0
 2  0      0 5821636 320028 4784132    0    0   352     0 21360 107687  9  7 84  0  0  0
 2  0      0 5824584 320044 4784124    0    0     0    84 23028 107530 11  7 82  0  0  0
 2  0      0 5828472 320044 4784124    0    0     0     0 21579 107308  9  7 83  0  0  0
 4  0      0 5824580 320044 4784124    0    0     0     0 22312 106796  9  8 83  0  0  0
 2  1      0 5826020 320044 4784128    0    0     0    40 21833 112666 10  7 83  0  0  0
 2  0      0 5829676 320044 4784128    0    0     0   136 22215 109298  9  7 84  0  0  0
 2  0      0 5825864 320056 4784124    0    0     0    40 22306 110152 11  8 81  0  0  0
 1  0      0 5841960 320772 4784152    0    0    88  5800 23203 112741  9  8 83  0  0  0
