Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:34:01 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:34:02 PM  1000     24752   98.00    1.00    0.00    0.00   99.00     6  blur
06:34:03 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:04 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:05 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:06 PM  1000     24752   99.00    0.00    0.00    1.00   99.00     7  blur
06:34:07 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:08 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:09 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:10 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:11 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:12 PM  1000     24752   99.00    0.00    0.00    0.00   99.00     6  blur
06:34:13 PM  1000     24752  100.00    0.00    0.00    1.00  100.00     7  blur
06:34:14 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:15 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:16 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:17 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:18 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:19 PM  1000     24752   99.00    0.00    0.00    1.00   99.00     6  blur
06:34:20 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:21 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:22 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:23 PM  1000     24752   99.00    0.00    0.00    0.00   99.00     3  blur
06:34:24 PM  1000     24752  100.00    0.00    0.00    1.00  100.00     7  blur
06:34:25 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:26 PM  1000     24752   99.00    0.00    0.00    1.00   99.00     6  blur
06:34:27 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:28 PM  1000     24752   99.00    0.00    0.00    1.00   99.00     6  blur
06:34:29 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:30 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:31 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:32 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:33 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:34 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:35 PM  1000     24752   99.00    0.00    0.00    0.00   99.00     7  blur
06:34:36 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:37 PM  1000     24752  100.00    0.00    0.00    1.00  100.00     7  blur
06:34:38 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:39 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:40 PM  1000     24752   99.00    0.00    0.00    1.00   99.00     7  blur
06:34:41 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     3  blur
06:34:42 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     3  blur
06:34:43 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     3  blur
06:34:44 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:45 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:46 PM  1000     24752   99.00    0.00    0.00    0.00   99.00     7  blur
06:34:47 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:48 PM  1000     24752  100.00    0.00    0.00    1.00  100.00    12  blur
06:34:49 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:50 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:51 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:52 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     6  blur
06:34:53 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:54 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:55 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:56 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
06:34:57 PM  1000     24752  100.00    0.00    0.00    0.00  100.00     7  blur
