procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 5842548 325816 4789736    0    0  6912  3456 17253   36  6  6 88  0  0  0
 2  0      0 5797860 325820 4789756    0    0     0   168 20462 106538  9  7 84  0  0  0
 3  0      0 5802240 325820 4789760    0    0     0    44 22148 109078 11  7 82  0  0  0
 2  0      0 5801288 325820 4789760    0    0     0     4 22367 107691  9  7 84  0  0  0
 2  0      0 5800840 325860 4789760    0    0     0   344 24275 109199  9  7 84  0  0  0
 3  0      0 5801752 325860 4789760    0    0     0     0 25153 110927 10  7 83  0  0  0
 2  0      0 5805624 325868 4789756    0    0     0     0 24516 108219  9  7 84  0  0  0
 2  0      0 5803484 325868 4789764    0    0     0   164 23114 107503 11  7 82  0  0  0
 2  0      0 5803300 325868 4789764    0    0     0   108 21647 111529  9  7 84  0  0  0
 2  0      0 5808732 325868 4789764    0    0     0    84 22144 111293 10  8 83  0  0  0
 2  0      0 5805844 325868 4789764    0    0     0     0 25290 115173 11  7 82  0  0  0
 2  0      0 5811800 325876 4789764    0    0     0    36 22015 105155  9  7 83  0  0  0
 2  0      0 5812240 325876 4789764    0    0     0     0 24842 107228 11  8 82  0  0  0
 2  0      0 5809096 325880 4789964    0    0     0   412 21084 103899 10  7 83  0  0  0
 2  0      0 5816936 325920 4789780    0    0     0   316 22181 105029  9  8 83  0  0  0
 2  0      0 5815988 325920 4789784    0    0     0     0 22703 117083 10  7 82  0  0  0
 2  0      0 5816004 325920 4789784    0    0     0    76 22357 107388  9  7 83  0  0  0
 2  0      0 5813904 325920 4789980    0    0     0     0 21027 105655 11  7 81  0  0  0
 3  0      0 5814192 325920 4789980    0    0     0     0 22097 97225  9  7 83  0  0  0
 2  0      0 5815216 325920 4789788    0    0     0   156 21021 110693  9  7 84  0  0  0
 2  0      0 5780580 325928 4789788    0    0     0    16 25721 112922 10  7 82  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5780804 325928 4789788    0    0     0     0 23133 110072  9  8 83  0  0  0
 2  0      0 5779836 325928 4789788    0    0     0     0 25298 108406 11  8 81  0  0  0
 4  0      0 5775784 325928 4789788    0    0     0     0 24390 107868  9  7 83  0  0  0
 2  0      0 5804744 325928 4789788    0    0     0     0 23868 107080  9  7 84  0  0  0
 2  0      0 5802380 325944 4789800    0    0     0   316 24712 113310 10  7 83  0  0  0
 2  0      0 5807512 325948 4789800    0    0     0     0 24420 107889  9  7 84  0  0  0
 2  0      0 5802820 325948 4789804    0    0     0     0 26449 108317 11  8 81  0  0  0
 2  0      0 5803996 325948 4789808    0    0     0     0 21489 106226  9  7 84  0  0  0
 2  0      0 5804016 325948 4789808    0    0     0  5972 21510 108202  9  8 83  0  0  0
 2  0      0 5806484 325956 4789812    0    0     0    52 21399 108747 10  7 83  0  0  0
 3  0      0 5810756 325956 4789812    0    0     0   156 22911 109275  9  8 83  0  0  0
 2  0      0 5814304 325956 4789812    0    0     0     0 21657 108926 11  7 82  0  0  0
 4  0      0 5814380 325956 4789812    0    0     0     0 20909 108054  9  7 84  0  0  0
 2  0      0 5818148 325956 4789500    0    0     0     0 24654 105437 11  7 81  0  0  0
 3  0      0 5811792 325964 4789500    0    0     0    60 21982 108838 10  7 82  0  0  0
 5  0      0 5809600 325964 4789504    0    0     0     0 21592 108801  9  8 84  0  0  0
 3  0      0 5812960 325964 4789504    0    0     0   172 20637 107628 11  7 82  0  0  0
 2  0      0 5813144 325964 4789504    0    0     0     0 23528 108331  9  7 84  0  0  0
 2  0      0 5811816 325964 4789504    0    0     0     0 23845 109192  9  7 83  0  0  0
 2  0      0 5805700 325968 4789508    0    0     0     0 23580 114776 10  8 82  0  0  0
 2  0      0 5809632 325976 4789508    0    0     0    28 20202 108839  9  8 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 5809540 325980 4789504    0    0     0     0 22093 108743 11  7 82  0  0  0
 5  0      0 5815604 325980 4789512    0    0     0     0 21319 108949  9  7 83  0  0  0
 2  0      0 5814588 325988 4789516    0    0     0   580 23255 110089  9  7 83  0  0  0
 3  0      0 5813892 325988 4789516    0    0     0    56 23730 115078 10  7 83  0  0  0
 2  0      0 5816280 325988 4789516    0    0     0    12 20312 106234  9  7 83  0  0  0
 3  0      0 5818732 325988 4789516    0    0     0     0 21723 110066 12  7 81  0  0  0
 3  0      0 5820320 325988 4789516    0    0     0     0 21305 109528  9  7 84  0  0  0
 2  1      0 5821756 325996 4789516    0    0     0    96 20988 108420  9  7 84  0  0  0
 5  0      0 5820740 326000 4789520    0    0     0   124 20562 113091 10  7 83  0  0  0
 4  0      0 5820952 326000 4789520    0    0     0     0 20244 105360  9  8 84  0  0  0
 3  0      0 5817260 326000 4789520    0    0     0     0 21861 109673 11  7 82  0  0  0
 3  0      0 5818660 326004 4789520    0    0     0     0 20596 109157  9  7 84  0  0  0
 4  0      0 5819384 326004 4789524    0    0     0    44 19928 109268  9  7 84  0  0  0
 3  0      0 5817356 326012 4789512    0    0     0   216 21566 113304 11  7 82  0  0  0
 2  0      0 5820520 326012 4789512    0    0     0     0 20808 111992  9  7 83  0  0  0
