Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:42:25 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:42:26 PM  1000     37152   96.04    1.98    0.00    0.00   98.02     2  blur
06:42:27 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:28 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:29 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:30 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:31 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:32 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:33 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:34 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:35 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     9  blur
06:42:36 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:37 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:38 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:39 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:40 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:41 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:42 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:43 PM  1000     37152  100.00    0.00    0.00    0.00  100.00    13  blur
06:42:44 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:45 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:46 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:47 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:48 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:49 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:50 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:51 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:52 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:53 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:54 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:42:55 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:56 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:42:57 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:42:58 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     7  blur
06:42:59 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     7  blur
06:43:00 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     7  blur
06:43:01 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     7  blur
06:43:02 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:43:03 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:43:04 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:43:05 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:43:06 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:43:07 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:43:08 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:43:09 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:43:10 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:43:11 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:43:12 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     3  blur
06:43:13 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     2  blur
06:43:14 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:43:15 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:43:16 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
06:43:17 PM  1000     37152  100.00    0.00    0.00    0.00  100.00     6  blur
