procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 5824156 331828 4795140    0    0  6225  3129 17767   40  7  6 87  0  0  0
 3  0      0 5794140 331848 4795160    0    0     0   120 23568 112981 10  7 83  0  0  0
 2  0      0 5794888 331848 4795160    0    0     0  5844 22384 107729  9  7 84  0  0  0
 5  0      0 5795512 331848 4795160    0    0     0   168 21785 110905  9  7 83  0  0  0
 1  0      0 5799912 331848 4795160    0    0     0     0 22291 107983 11  7 82  0  0  0
 5  0      0 5800408 331848 4795160    0    0     0     0 21875 107819  9  7 84  0  0  0
 2  0      0 5796100 331856 4795156    0    0     0     0 22388 112467 10  8 82  0  0  0
 3  0      0 5803212 331872 4795152    0    0     0   140 21921 109039  9  7 84  0  0  0
 5  0      0 5801960 331872 4795164    0    0     0     0 21389 109080  9  7 84  0  0  0
 2  0      0 5806564 331872 4795164    0    0     0   164 26744 110620 11  8 81  0  0  0
 2  0      0 5801960 331872 4795164    0    0     0     0 22559 107506  9  7 84  0  0  0
 2  0      0 5798776 331872 4795164    0    0     0     0 22478 113579 10  8 82  0  0  0
 3  0      0 5805396 331872 4795164    0    0     0    44 20672 109095  9  7 83  0  0  0
 4  0      0 5803272 331884 4795164    0    0     0    52 20470 106510  9  7 84  0  0  0
 1  0      0 5804408 331884 4795176    0    0     0     0 22003 108476 11  7 81  0  0  0
 2  0      0 5801676 331884 4795172    0    0     0   420 20338 107432  9  7 83  0  0  0
 2  0      0 5800240 331884 4795172    0    0     0     0 21304 111231 10  7 83  0  0  0
 2  0      0 5780932 331884 4799540    0    0     0     0 20722 106156 10  7 83  0  0  0
 3  0      0 5783488 331884 4800008    0    0     0    72 20596 109932  9  7 83  0  0  0
 2  0      0 5784384 331892 4800008    0    0     0    24 21841 110839 11  7 82  0  0  0
 5  0      0 5784340 331892 4800008    0    0     0     0 20148 108911  9  7 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 5815740 331892 4800008    0    0     0   160 21397 113972 10  7 82  0  0  0
 3  0      0 5816080 331892 4799360    0    0     0     0 20560 104651  9  7 84  0  0  0
 7  0      0 5817528 331892 4799272    0    0     0     0 21988 109660  9  7 84  0  0  0
 4  0      0 5818480 331892 4799272    0    0     0    32 23048 107330 11  7 82  0  0  0
 2  0      0 5825480 331916 4799384    0    0     0   100 23906 109858  9  7 83  0  0  0
 3  0      0 5823388 331920 4799288    0    0     0     0 21745 113331 10  8 82  0  0  0
 2  0      0 5825240 331920 4799296    0    0     0   300 20750 106832  9  7 84  0  0  0
 5  0      0 5826832 331920 4799296    0    0     0     0 19964 108095  9  8 83  0  0  0
 4  0      0 5825004 331920 4799296    0    0     0     0 21730 109136 11  7 82  0  0  0
 3  0      0 5823540 331920 4799296    0    0     0    68 21309 109808  9  7 83  0  0  0
 3  0      0 5821752 331928 4799296    0    0     0    56 22070 114848 10  8 82  0  0  0
 3  0      0 5822784 331928 4799296    0    0     0     0 20092 109357  9  8 84  0  0  0
 2  0      0 5823496 331928 4799296    0    0     0   160 18823 107305  9  8 83  0  0  0
 2  0      0 5818840 331928 4799336    0    0    40     0 23245 104410 11  7 82  0  0  0
 1  0      0 5818480 331992 4799404    0    0    40   388 11647 26005  9  4 87  0  0  0
 1  0      0 5823984 331992 4799408    0    0     4   140 8097 14562  9  3 88  0  0  0
 1  0      0 5824672 331992 4799412    0    0     0     0 9073 10837  8  3 89  0  0  0
 1  0      0 5821364 331992 4799412    0    0     0     0 9281 11523  8  3 88  0  0  0
 1  0      0 5737516 331992 4799412    0    0     0   168 7797 10567 10  4 85  0  0  0
 2  0      0 5738088 332464 4799636    0    0   304    72 6682 74044  9  4 87  0  0  0
 5  0      0 5738760 332464 4799816    0    0     0   260 6770 13161  9  3 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 5737784 332492 4799820    0    0    16    28 5934 8363  9  3 88  0  0  0
 6  0      0 5735772 332840 4800108    0    0    16     0 9080 140214 10  5 84  0  0  0
 3  0      0 5733268 333164 4800396    0    0     0     0 9414 142289 11  6 84  0  0  0
 1  0      0 5725776 333164 4800588    0    0    20   300 10363 12610  9  4 87  0  0  0
 2  0      0 5718184 333180 4800584    0    0    20     0 7156 13592 10  4 86  0  0  0
 2  0      0 5713336 333184 4800600    0    0     0   800 6336 8251 13  3 83  0  0  0
 3  0      0 5719732 333192 4800604    0    0     0    44 8554 10009 14  3 83  0  0  0
 3  0      0 5712536 333192 4800600    0    0     0    36 10944 13200 16  3 81  0  0  0
 1  0      0 5716012 333648 4800900    0    0    68   172 9493 164602  9  5 85  0  0  0
 2  0      0 5714172 334064 4801316    0    0     0     0 13337 182150 10  6 83  0  0  0
 2  0      0 5720108 334500 4802356    0    0    20  1408 7754 175919  9  7 85  0  0  0
 3  0      0 5725236 334920 4802340    0    0     0    32 9258 176973  9  4 86  0  0  0
 2  0      0 5727032 335332 4803144    0    0     0     0 12881 178364 11  7 82  0  0  0
 2  0      0 5722900 335760 4802956    0    0     0   212 9866 177986  9  6 85  0  0  0
 1  0      0 5727540 335920 4803216    0    0     0     0 6687 77009  9  4 88  0  0  0
 1  0      0 5700772 336436 4834200    0    0 29752  2192 7903 11874  8  3 87  2  0  0
 2  0      0 5689620 336456 4834520    0    0    20     0 8701 10690 12  3 85  0  0  0
 8  0      0 5682744 336512 4834480    0    0  1708  2784 11018 14359 16  4 80  0  0  0
 4  0      0 5670796 336708 4830368    0    0   260 11008 9631 13602 16  7 77  0  0  0
 2  0      0 5719800 336728 4830272    0    0     0   164 7394 13215 14  2 83  0  0  0
 2  0      0 5723384 336728 4830272    0    0     0     0 6090 8410 14  2 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 5736208 336740 4830564    0    0    80   744 6369 8706 14  2 83  0  0  0
 2  0      0 5706128 336744 4832096    0    0  1512    12 8336 11353 16  3 80  0  0  0
 2  0      0 5709084 336744 4832104    0    0     0    76 5507 7382 13  2 84  0  0  0
 3  0      0 5611452 336924 4839572    0    0  7828   244 6858 13215 16  2 82  0  0  0
 3  0      0 5373020 337716 4842448    0    0   964     0 6614 8577 18  4 77  0  0  0
 6  0      0 5315368 337740 4871204    0    0   212 19448 8692 10755 21  4 75  0  0  0
 3  0      0 5317236 338160 4887716    0    0 14920  2788 10656 14361 19  3 77  1  0  0
 3  0      0 5316420 338160 4887716    0    0     0     0 8015 12222 14  2 84  0  0  0
 2  0      0 5315536 338164 4887720    0    0     0     4 7583 13314 14  2 83  0  0  0
 3  0      0 5285796 338164 4887788    0    0     0     0 8151 11755 15  4 81  0  0  0
 2  0      0 5282740 338180 4901308    0    0     0   556 8307 14267 15  3 83  0  0  0
 3  0      0 5232036 338180 4901316    0    0     0    68 8177 11616 16  2 82  0  0  0
 5  0      0 5236556 338180 4901340    0    0     0   332 9709 12526 15  5 79  0  0  0
 3  0      0 5227780 338180 4901472    0    0     0     0 11951 18902 17  6 77  0  0  0
 3  0      0 5243396 338180 4901528    0    0     4     4 10880 14286 16  6 78  0  0  0
 5  0      0 4979080 338400 5139936    0    0     0 57804 7303 9240 19  4 78  0  0  0
 3  0      0 4854800 339900 5276936    0    0     0    52 9771 13377 18  5 77  0  0  0
 3  0      0 4883240 340120 5277184    0    0   140     0 11537 43275 15  6 78  0  0  0
 1  0      0 4884208 340608 5277816    0    0     0   372 13450 215037 12  9 79  0  0  0
 2  0      0 4883548 341116 5278340    0    0     0     0 6367 207994  9  4 87  0  0  0
 2  0      0 4881756 341636 5278892    0    0     0 52656 8212 206633  8  5 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 4883736 342144 5279356    0    0     0     4 7870 208516 10  5 85  0  0  0
