procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5932232 307544 4725088    0    0  8443  4187 16097   29  6  6 89  0  0  0
 4  0      0 5904120 307548 4735916    0    0 10516     0 23194 104246 10  7 83  0  0  0
 3  0      0 5869328 307548 4764796    0    0     0     0 23415 102384 11  7 81  0  0  0
 2  0      0 5867052 307548 4764796    0    0     0     0 22522 100902 11  8 82  0  0  0
 4  0      0 5869624 307580 4764796    0    0     0   212 21866 107109 10  7 82  0  0  0
 2  0      0 5895376 307596 4742440    0    0     0  5416 23394 114884 13  7 80  0  0  0
 2  0      0 5909580 307620 4735060    0    0    16   232 21756 101988  9  7 84  0  0  0
 2  0      0 5908872 307620 4735064    0    0     0     0 22162 105778 10  8 82  0  0  0
 2  0      0 5908144 307620 4735068    0    0     0     0 23758 102212 10  7 83  0  0  0
 2  0      0 5905368 307620 4735068    0    0     0     0 20760 104150  9  7 84  0  0  0
 4  0      0 5905456 307620 4735256    0    0     8    64 23522 111130 10  8 83  0  0  0
 2  0      0 5892868 307620 4751080    0    0 15832   160 21389 109877 10  7 83  0  0  0
 3  0      0 5890684 307628 4751424    0    0     0    36 22395 106731 10  8 82  0  0  0
 2  0      0 5889568 307632 4751420    0    0     0     0 22012 110111 10  7 83  0  0  0
 2  0      0 5895408 307632 4751428    0    0     0     0 22327 105865  9  7 84  0  0  0
 2  0      0 5888704 307632 4751428    0    0     0     0 22143 108859 11  7 82  0  0  0
 3  0      0 5890108 307632 4751432    0    0     0     0 21619 104986  9  7 84  0  0  0
 4  0      0 5889660 307640 4751428    0    0     0   208 23717 106485 10  7 83  0  0  0
 4  0      0 5889348 307640 4751560    0    0     0     0 22292 105613 10  7 83  0  0  0
 3  0      0 5893128 307640 4751560    0    0     0     0 21551 103209  9  7 83  0  0  0
 3  0      0 5891140 307640 4751560    0    0     0     0 22366 115926 10  7 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 5884096 307640 4756340    0    0  4976     0 20079 107538  9  7 84  0  0  0
 4  0      0 5882916 307640 4756536    0    0     0     0 20620 105749 10  7 83  0  0  0
 2  0      0 5885112 307648 4756536    0    0     0   192 21141 108414 10  7 82  0  0  0
 2  0      0 5893892 307648 4756536    0    0     0     0 21346 109592  9  8 83  0  0  0
 3  0      0 5891916 307648 4756536    0    0     0     0 21415 111550 10  7 83  0  0  0
 2  0      0 5893356 307652 4756536    0    0     0     0 20770 109587  9  7 84  0  0  0
 3  0      0 5890604 307652 4756540    0    0     0     0 23808 109392 10  7 82  0  0  0
 4  0      0 5887760 307652 4756540    0    0     0   324 22716 100017 10  8 82  0  0  0
 1  0      0 5889636 307660 4756540    0    0     0   196 20986 107721  9  7 84  0  0  0
