Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:32:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:32:22 PM  1000     23402   99.00    0.00    0.00    0.00   99.00     7  blur
06:32:23 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     6  blur
06:32:24 PM  1000     23402   98.00    1.00    0.00    0.00   99.00     7  blur
06:32:25 PM  1000     23402  100.00    0.00    0.00    1.00  100.00     7  blur
06:32:26 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     6  blur
06:32:27 PM  1000     23402   99.00    0.00    0.00    0.00   99.00     7  blur
06:32:28 PM  1000     23402   99.00    1.00    0.00    0.00  100.00     6  blur
06:32:29 PM  1000     23402  100.00    0.00    0.00    1.00  100.00     6  blur
06:32:30 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     2  blur
06:32:31 PM  1000     23402   99.00    0.00    0.00    0.00   99.00     7  blur
06:32:32 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     6  blur
06:32:33 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     7  blur
06:32:34 PM  1000     23402  100.00    0.00    0.00    0.00  100.00    12  blur
06:32:35 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     7  blur
06:32:36 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     3  blur
06:32:37 PM  1000     23402   99.00    1.00    0.00    1.00  100.00     2  blur
06:32:38 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     0  blur
06:32:39 PM  1000     23402   99.00    0.00    0.00    0.00   99.00     2  blur
06:32:40 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     2  blur
06:32:41 PM  1000     23402  100.00    1.00    0.00    0.00  101.00     6  blur
06:32:42 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     7  blur
06:32:43 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     7  blur
06:32:44 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     6  blur
06:32:45 PM  1000     23402   99.00    0.00    0.00    0.00   99.00     3  blur
06:32:46 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     3  blur
06:32:47 PM  1000     23402  100.00    0.00    0.00    1.00  100.00     2  blur
06:32:48 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     3  blur
06:32:49 PM  1000     23402   99.00    0.00    0.00    0.00   99.00     2  blur
06:32:50 PM  1000     23402  100.00    0.00    0.00    0.00  100.00     3  blur
